dateObserved;temperature;relativeHumidity
2024-09-22T11:50Z;20.812925;64.92775
2024-09-22T12:20Z;21.002518;62.419548
2024-09-22T12:30Z;21.549934;61.963684
2024-09-22T12:50Z;21.891737;59.398262
2024-09-22T13:00Z;22.286945;56.932022
2024-09-22T13:10Z;22.610056;57.305866
2024-09-22T13:30Z;22.174791;56.47616
2024-09-22T14:00Z;22.855726;53.000916
2024-09-22T14:10Z;23.899824;53.39956
2024-09-22T14:30Z;22.682154;57.09224
2024-09-22T15:00Z;21.715496;60.327152
2024-09-22T15:10Z;21.67277;60.355762
2024-09-22T15:20Z;21.109331;62.41192
2024-09-22T15:30Z;20.962463;62.471046
2024-09-22T15:50Z;20.791561;64.33074
2024-09-22T16:20Z;20.065233;67.84604
2024-09-22T16:40Z;19.64866;69.614174
2024-09-22T16:50Z;19.16266;72.32075
2024-09-22T17:10Z;17.571146;80.68459
2024-09-22T17:20Z;17.05577;85.94324
2024-09-22T17:30Z;16.95697;85.96231
2024-09-22T17:50Z;16.64187;88.16533
2024-09-22T18:00Z;16.604486;88.32174
2024-09-22T18:10Z;16.276035;89.14763
2024-09-22T18:20Z;16.177233;89.78088
2024-09-22T18:30Z;16.246662;90.84711
2024-09-22T18:40Z;16.238651;90.677345
2024-09-22T18:50Z;16.15587;90.99588
2024-09-22T19:00Z;16.078432;91.077896
2024-09-22T19:20Z;16.027695;91.31823
2024-09-22T19:30Z;16.059738;91.27436
2024-09-22T19:50Z;15.7366295;91.14465
2024-09-22T20:10Z;15.723278;90.812775
2024-09-22T20:40Z;15.378805;91.17136
2024-09-22T20:50Z;15.210574;91.48417
2024-09-22T21:00Z;15.002289;92.44549
2024-09-22T21:30Z;15.01564;92.971924
2024-09-22T21:50Z;14.77264;90.03647
2024-09-22T22:20Z;14.855421;89.95636
2024-09-22T22:40Z;14.996948;91.09888
2024-09-22T23:30Z;14.639124;91.71877
2024-09-23T00:10Z;14.44686;92.147934
2024-09-23T00:30Z;14.500267;91.94385
2024-09-23T01:00Z;14.286641;92.66674
2024-09-23T01:10Z;14.308003;92.85748
2024-09-23T01:20Z;14.321355;92.89754
2024-09-23T01:30Z;14.308003;93.135956
2024-09-23T01:40Z;14.348059;93.30381
2024-09-23T02:10Z;14.083695;93.76158
2024-09-23T03:00Z;14.059663;93.66239
2024-09-23T03:10Z;14.014267;93.746315
2024-09-23T03:20Z;14.027618;93.28855
2024-09-23T03:30Z;14.110399;93.21034
2024-09-23T03:50Z;13.87541;94.0
2024-09-23T04:00Z;13.811322;93.853134
2024-09-23T04:40Z;13.87808;93.70626
2024-09-23T04:50Z;13.838025;93.79019
2024-09-23T05:10Z;13.7953005;93.187454
2024-09-23T05:30Z;13.768597;93.30572
2024-09-23T06:00Z;13.928817;93.08255
2024-09-23T06:10Z;13.976883;92.556114
2024-09-23T06:30Z;14.158465;92.15938
2024-09-23T06:40Z;14.161136;91.873276
2024-09-23T06:50Z;14.227894;92.039215
2024-09-23T07:20Z;13.944839;93.95422
2024-09-23T07:30Z;14.006256;94.24223
2024-09-23T08:00Z;14.36408;93.021515
2024-09-23T08:10Z;14.478905;92.73731
2024-09-23T08:20Z;14.36408;93.16838
2024-09-23T08:50Z;14.377432;92.31197
2024-09-23T09:10Z;14.353399;91.88281
2024-09-23T09:20Z;14.473564;90.4065
2024-09-23T09:30Z;14.575036;90.31686
2024-09-23T09:50Z;14.564355;90.025024
2024-09-23T10:10Z;14.52697;90.96536
2024-09-23T10:40Z;14.740597;91.62531
2024-09-23T11:00Z;14.7566185;92.21278
2024-09-23T11:10Z;14.617762;92.189896
2024-09-23T11:40Z;14.7005415;92.02014
2024-09-23T11:50Z;14.777981;92.12886
2024-09-23T12:10Z;14.783322;91.41741
2024-09-23T12:40Z;14.740597;90.70405
2024-09-23T13:00Z;15.0370035;89.15144
2024-09-23T13:10Z;15.135805;91.28962
2024-09-23T13:20Z;14.828717;90.21576
2024-09-23T13:30Z;14.842069;91.35447
2024-09-23T13:40Z;14.815366;92.20325
2024-09-23T13:50Z;14.724575;91.93431
2024-09-23T14:10Z;14.647135;92.28527
2024-09-23T14:20Z;14.500267;93.702446
2024-09-23T14:50Z;13.864729;92.2662
2024-09-23T15:20Z;13.522926;92.67437
2024-09-23T16:00Z;13.186465;92.92996
2024-09-23T16:10Z;13.3093;92.605705
2024-09-23T16:30Z;13.490883;93.49645
2024-09-23T17:10Z;13.485542;93.73678
2024-09-23T17:20Z;13.421454;93.99428
2024-09-23T17:40Z;13.239872;94.30709
2024-09-23T18:00Z;13.215838;94.34333
2024-09-23T18:20Z;13.189136;94.190735
2024-09-23T18:40Z;13.06363;93.824524
2024-09-23T18:50Z;13.031587;93.351494
2024-09-23T19:00Z;13.052949;92.949036
2024-09-23T19:20Z;13.122377;92.82506
2024-09-23T19:30Z;13.05829;92.72587
2024-09-23T19:40Z;12.996872;92.7087
2024-09-23T20:00Z;13.023575;92.47791
2024-09-23T20:20Z;12.8339815;92.74494
2024-09-23T20:30Z;12.636377;93.77684
2024-09-23T20:40Z;12.561608;94.00954
2024-09-23T21:00Z;12.33196;93.73296
2024-09-23T21:20Z;12.179751;93.42779
2024-09-23T21:30Z;12.198443;93.486916
2024-09-23T22:20Z;11.605631;94.51881
2024-09-23T22:40Z;11.19974;95.12726
2024-09-23T23:00Z;11.19707;94.67712
2024-09-23T23:10Z;10.916686;94.762955
2024-09-24T00:00Z;10.772488;94.54742
2024-09-24T00:10Z;10.8178835;94.4902
